date, minute, open, low, high, close, volume
2025-01-02,471,587.9800,587.8500,588.4700,588.4000,73292.00
2025-01-02,472,588.3900,588.2000,588.7800,588.3100,57121.00
2025-01-02,473,588.2700,587.1700,588.3100,587.6400,52575.00
2025-01-02,474,587.6500,587.5800,588.4500,588.4500,37236.00
2025-01-02,475,588.4000,588.0200,588.5500,588.0866,28830.00
2025-01-02,476,588.1100,587.9200,588.2900,588.1200,14209.00
2025-01-02,477,588.2000,587.9250,588.2400,588.0000,24105.00
2025-01-02,478,588.0000,587.6900,588.1300,587.6900,38089.00
2025-01-02,479,587.8000,587.2400,587.8200,587.6100,55763.00
2025-01-02,480,587.5900,587.3700,587.8000,587.4500,65149.00
2025-01-02,481,587.3800,587.2300,587.4699,587.4400,46779.00
2025-01-02,482,587.4100,586.2700,587.5900,586.4450,89072.00
2025-01-02,483,586.4200,585.8510,586.5700,585.9400,90441.00
2025-01-02,484,585.9708,585.2000,585.9799,585.5866,230334.00
2025-01-02,485,585.5800,585.5101,585.9300,585.7699,76442.00
2025-01-02,486,585.7500,585.6200,586.2400,585.9688,183228.00
2025-01-02,487,585.9400,585.5300,586.0500,585.7600,52690.00
2025-01-02,488,585.7800,585.4900,586.0000,585.4900,51067.00
2025-01-02,489,585.5600,585.5200,586.0100,585.9100,50574.00
2025-01-02,490,585.9500,585.3700,585.9600,585.6500,114044.00
2025-01-02,491,585.6800,585.5900,586.2000,586.1800,81221.00
2025-01-02,492,586.1850,585.7905,586.2950,585.9400,88193.00
2025-01-02,493,585.9300,585.8500,586.1561,586.1300,33563.00
2025-01-02,494,586.1500,586.0795,586.7600,586.4500,55286.00
2025-01-02,495,586.4600,586.1600,586.5400,586.2600,62885.00
2025-01-02,496,586.2300,586.0642,586.7650,586.5000,48165.00
2025-01-02,497,586.4500,586.3500,586.6600,586.5399,53474.00
2025-01-02,498,586.5100,586.3400,586.6100,586.6050,34449.00
2025-01-02,499,586.6300,586.4100,587.0900,586.9810,70771.00
2025-01-02,500,586.9500,586.3500,587.0763,586.4300,76178.00
2025-01-02,501,586.4400,586.2200,586.4700,586.3700,34801.00
2025-01-02,502,586.3500,586.0100,586.4800,586.1200,47524.00
2025-01-02,503,586.1400,586.0900,586.9400,586.9400,31734.00
2025-01-02,504,586.9200,586.9200,587.7000,587.3900,107650.00
2025-01-02,505,587.4093,587.1100,587.4700,587.2170,52473.00
2025-01-02,506,587.1800,586.9800,587.6200,587.6120,49383.00
2025-01-02,507,587.5900,587.1600,587.6300,587.3200,36827.00
2025-01-02,508,587.3300,587.2850,587.5950,587.5950,23994.00
2025-01-02,509,587.6000,587.4700,587.6400,587.5301,17110.00
2025-01-02,510,587.4700,587.2300,587.8099,587.4900,42268.00
2025-01-02,511,587.5300,587.1200,587.5300,587.3100,24054.00
2025-01-02,512,587.3200,587.1500,587.4850,587.3300,21800.00
2025-01-02,513,587.3500,587.1500,587.6600,587.6600,31664.00
2025-01-02,514,587.7100,587.4600,587.7800,587.6101,23050.00
2025-01-02,515,587.6400,587.5953,587.9500,587.9250,25227.00
2025-01-02,516,588.0000,587.7500,588.1000,587.8900,32872.00
2025-01-02,517,587.8900,587.5200,587.8900,587.7200,29869.00
2025-01-02,518,587.7300,587.6600,587.8700,587.7200,21955.00
2025-01-02,519,587.7200,587.7200,588.3500,587.9400,77707.00
2025-01-02,520,587.9400,587.8900,588.5400,588.3500,38322.00
2025-01-02,521,588.3600,588.2150,588.4450,588.2800,61985.00
2025-01-02,522,588.2750,588.0600,588.2800,588.1800,37248.00
2025-01-02,523,588.1700,587.8300,588.1700,587.9600,32843.00
2025-01-02,524,587.9800,587.8800,588.0200,587.9300,51816.00
2025-01-02,525,587.9100,587.7847,588.0100,587.9600,51227.00
2025-01-02,526,587.9700,587.7700,587.9800,587.9800,26784.00
2025-01-02,527,587.9700,587.8900,588.1150,588.1050,26618.00
2025-01-02,528,588.0900,588.0500,588.5400,588.4600,33479.00
2025-01-02,529,588.4600,588.3750,588.6700,588.5900,33676.00
2025-01-02,530,588.5900,588.3700,588.6300,588.5000,57377.00
2025-01-02,531,588.5400,588.4400,588.7700,588.7500,22148.00
2025-01-02,532,588.7500,588.1818,588.7500,588.2300,29459.00
2025-01-02,533,588.2500,588.0900,588.2800,588.2100,26281.00
2025-01-02,534,588.2000,587.3500,588.2300,587.7014,96685.00
2025-01-02,535,587.6800,587.6500,587.9550,587.8100,18004.00
2025-01-02,536,587.8500,587.7200,587.8700,587.7500,33025.00
2025-01-02,537,587.7100,587.6100,587.8400,587.7701,26765.00
2025-01-02,538,587.7000,587.6850,588.0900,588.0200,35643.00
2025-01-02,539,588.0141,587.8109,588.0800,587.8800,24401.00
2025-01-02,540,587.8750,587.7900,588.0100,587.8100,20037.00
2025-01-02,541,587.6750,587.6750,587.9700,587.9400,22113.00
2025-01-02,542,587.9500,587.4000,588.0600,587.6500,60322.00
2025-01-02,543,587.6700,587.6200,587.9200,587.9200,17745.00
2025-01-02,544,587.8700,587.8400,588.2650,588.2650,25163.00
2025-01-02,545,588.2600,587.9205,588.2600,587.9800,16143.00
2025-01-02,546,588.0800,587.7000,588.2199,587.7400,23591.00
2025-01-02,547,587.7600,587.4900,587.7900,587.5800,14653.00
2025-01-02,548,587.6300,587.2700,587.6300,587.5100,51642.00
2025-01-02,549,587.5300,587.4000,587.6300,587.4700,22296.00
2025-01-02,550,587.4700,587.4400,587.8500,587.8500,19872.00
2025-01-02,551,587.8199,587.6900,588.0699,587.8100,22643.00
2025-01-02,552,587.8300,587.8300,588.0700,588.0700,10270.00
2025-01-02,553,588.0900,588.0900,588.6700,588.6001,35602.00
2025-01-02,554,588.5800,588.2900,588.6000,588.3100,19083.00
2025-01-02,555,588.2800,588.0700,588.3100,588.3100,30057.00
2025-01-02,556,588.2800,587.8100,588.3400,587.8100,26473.00
2025-01-02,557,587.8000,587.6400,587.9800,587.7200,49098.00
2025-01-02,558,587.7000,587.5800,587.9500,587.6000,41561.00
2025-01-02,559,587.5800,587.4200,587.6670,587.6200,59524.00
2025-01-02,560,587.6200,586.8900,587.6500,586.8900,58981.00
2025-01-02,561,586.9400,586.5900,587.2300,587.1600,71582.00
2025-01-02,562,587.2300,586.8900,587.2500,586.9500,71380.00
2025-01-02,563,586.9700,586.5700,587.0600,586.6600,31647.00
2025-01-02,564,586.6800,586.2700,586.6800,586.4500,33661.00
2025-01-02,565,586.4100,586.1001,586.4100,586.2150,69422.00
2025-01-02,566,586.1900,585.7700,586.3000,585.8701,61243.00
2025-01-02,567,585.9200,584.9200,585.9200,585.0500,123047.00
2025-01-02,568,585.0800,584.8200,585.2700,585.0399,135908.00
2025-01-02,569,584.9900,584.2100,584.9900,584.4900,167837.00
2025-01-02,570,584.4700,583.8600,584.4733,584.0105,140040.00
2025-01-02,571,584.0450,583.5131,584.3000,584.1600,198607.00
2025-01-02,572,584.1562,583.7700,584.3400,583.8440,212425.00
2025-01-02,573,583.8700,583.3800,583.9800,583.7000,146850.00
2025-01-02,574,583.6600,583.3800,583.7766,583.6700,139012.00
2025-01-02,575,583.6600,583.4700,583.7900,583.5900,113871.00
2025-01-02,576,583.5700,583.2500,583.6300,583.4321,109201.00
2025-01-02,577,583.4100,582.5100,583.4400,582.6300,230631.00
2025-01-02,578,582.6100,582.1400,582.7400,582.5560,163029.00
2025-01-02,579,582.5900,582.2200,582.6533,582.3400,109250.00
2025-01-02,580,582.3399,581.9100,582.3800,582.1500,172830.00
2025-01-02,581,582.1800,582.0600,582.8000,582.2900,181524.00
2025-01-02,582,582.3100,581.4300,582.3100,581.7600,164373.00
2025-01-02,583,581.7400,581.7001,582.3800,582.2800,135171.00
2025-01-02,584,582.2850,582.0300,582.4450,582.1700,113013.00
2025-01-02,585,582.2735,581.8230,582.2800,582.1800,112461.00
2025-01-02,586,582.1400,581.8500,582.4700,582.0900,72834.00
2025-01-02,587,582.0500,581.7400,582.1300,582.0100,93746.00
2025-01-02,588,581.9900,581.5000,582.0200,581.7200,96163.00
2025-01-02,589,581.7100,581.3100,581.8800,581.3200,86815.00
2025-01-02,590,581.3000,580.9400,581.9400,581.8750,226844.00
2025-01-02,591,581.8700,581.7200,582.4000,582.4000,99259.00
2025-01-02,592,582.3900,582.3200,582.7500,582.3899,161369.00
2025-01-02,593,582.3700,582.2700,582.6299,582.6299,106061.00
2025-01-02,594,582.6400,582.1000,582.7300,582.2000,111261.00
2025-01-02,595,582.2000,582.1400,582.6600,582.2400,138855.00
2025-01-02,596,582.2800,582.2100,582.9100,582.9099,86046.00
2025-01-02,597,582.9000,582.5800,583.0200,582.6600,110852.00
2025-01-02,598,582.6370,582.5900,582.9700,582.8999,171583.00
2025-01-02,599,582.9700,582.7200,583.2500,582.8600,120296.00
2025-01-02,600,582.8600,582.2200,582.9100,582.3200,143856.00
2025-01-02,601,582.3450,581.8600,582.3800,581.9100,151824.00
2025-01-02,602,581.9600,581.7200,582.3600,581.8500,99279.00
2025-01-02,603,581.8450,581.6400,582.0600,581.7500,99815.00
2025-01-02,604,581.7100,581.2501,581.7300,581.5000,81901.00
2025-01-02,605,581.5900,581.4600,581.9499,581.8500,94127.00
2025-01-02,606,581.7600,581.7600,582.1800,582.0900,82808.00
2025-01-02,607,582.1400,582.0500,582.5400,582.5000,76358.00
2025-01-02,608,582.5200,582.4100,582.5600,582.5300,70676.00
2025-01-02,609,582.5000,582.4800,583.0900,582.6500,144359.00
2025-01-02,610,582.6600,581.9200,582.6600,582.0100,115478.00
2025-01-02,611,581.9900,581.8000,582.3500,581.8300,59279.00
2025-01-02,612,581.8200,581.5300,581.8800,581.7400,80702.00
2025-01-02,613,581.7200,581.5400,581.7900,581.6433,48176.00
2025-01-02,614,581.6500,581.5600,581.7800,581.6900,69475.00
2025-01-02,615,581.7100,581.0900,581.7900,581.4200,126385.00
2025-01-02,616,581.3800,581.2500,581.6751,581.5950,68332.00
2025-01-02,617,581.5700,581.4100,581.8400,581.4100,92566.00
2025-01-02,618,581.3900,581.3900,581.9600,581.9600,83415.00
2025-01-02,619,581.9600,581.7800,581.9700,581.8500,59120.00
2025-01-02,620,581.8500,581.8500,582.5800,582.2800,101057.00
2025-01-02,621,582.3600,581.6100,582.4100,581.7600,60639.00
2025-01-02,622,581.7700,581.6200,582.1958,582.0400,60250.00
2025-01-02,623,582.0300,582.0000,582.3100,582.0501,67514.00
2025-01-02,624,582.0800,581.7600,582.1200,581.8500,51523.00
2025-01-02,625,581.8500,581.5800,581.9400,581.8300,61985.00
2025-01-02,626,581.8500,581.5200,582.0100,581.6000,44855.00
2025-01-02,627,581.5500,581.5100,582.1000,582.0700,49330.00
2025-01-02,628,582.0483,581.8500,582.1500,581.8900,44112.00
2025-01-02,629,581.8600,581.8150,582.3800,582.3600,38443.00
